ncbi_gene_id	ncbi_gene_sym
3045	HBD
100187828	HBD
4549	RNR1
6052	RNR1
4550	RNR2
6053	RNR2
7006	TEC
100124696	TEC
51072	MEMO1
7795	MEMO1
100505381	MMD2
221938	MMD2
100528024	DEL11P13
107648861	DEL11P13
107985605	TRNAK-CUU
107985760	TRNAK-CUU
107984908	TRNAK-CUU
107985748	TRNAG-CCC
107985604	TRNAG-CCC
107985607	TRNAG-CCC
107985759	TRNAG-CCC
107985603	TRNAG-CCC
107985600	TRNAG-CCC
107985610	TRNAN-GUU
107985624	TRNAN-GUU
107985757	TRNAN-GUU
107985762	TRNAN-GUU
107985756	TRNAN-GUU
107985625	TRNAN-GUU
107985754	TRNAN-GUU
107985752	TRNAN-GUU
107985611	TRNAN-GUU
107987367	TRNAN-GUU
107985601	TRNAN-GUU
107985621	TRNAN-GUU
107985750	TRNAN-GUU
107985617	TRNAN-GUU
107985763	TRNAN-GUU
107985622	TRNAN-GUU
107985609	TRNAN-GUU
107985751	TRNAN-GUU
107985613	TRNAN-GUU
107985623	TRNAE-UUC
107985758	TRNAE-UUC
107987368	TRNAE-UUC
107985602	TRNAE-UUC
107985626	TRNAE-UUC
107985606	TRNAC-GCA
107985761	TRNAC-GCA
107985612	TRNAV-CAC
107985608	TRNAV-CAC
107985749	TRNAV-CAC
107985614	TRNAV-CAC
107985753	TRNAV-CAC
107985615	TRNAV-CAC
107985616	TRNAQ-CUG
107985755	TRNAQ-CUG
107985618	TRNAG-GCC
107985620	TRNAG-GCC
107985619	TRNAG-GCC
107986679	TRNAI-AAU
107986683	TRNAI-AAU
107986680	TRNAM-CAU
107986682	TRNAM-CAU
107987523	TRNAL-CAA
107987455	TRNAL-CAA
107987402	TRNAL-CAA
107986681	TRNAL-CAA
107987430	TRNAL-CAA
107987450	TRNAL-CAA
107987460	TRNAL-CAA
110467520	RNA5-8SP
110467521	RNA5-8SP
110467522	RNA5-8SP
110467523	RNA5-8SP
110467518	RNA5-8SP
110467524	RNA5-8SP
110467529	RNA28SP
110467526	RNA28SP
110467525	RNA28SP
110467528	RNA28SP
110467531	RNA28SP
110467527	RNA28SP
110467536	RNA18SP
110467537	RNA18SP
110467533	RNA18SP
110467534	RNA18SP
110467535	RNA18SP
110467532	RNA18SP
110467538	RNA18SP
