Gene stable ID	HGNC symbol	Gene name	NCBI gene ID
ENSG00000283891	MIR628	MIR628	693213
ENSG00000207766	MIR626	MIR626	693211
ENSG00000275323		AC012314.7	6203
ENSG00000265993	MIR5694	MIR5694	100847064
ENSG00000283793	MIR6861	MIR6861	102465519
ENSG00000283621	MIR6759	MIR6759	102466729
ENSG00000264032	MIR4491	MIR4491	100616330
ENSG00000200163	SNORD115-18	SNORD115-18	100033456
ENSG00000275994	SNORA24	SNORA24	677809
ENSG00000212607	SNORA3B	SNORA3B	677826
ENSG00000284185	MIR219A2	MIR219A2	407003
ENSG00000263858	MIR4769	MIR4769	100616147
ENSG00000283409	MIR3662	MIR3662	100500880
ENSG00000264357	MIR4648	MIR4648	100616116
ENSG00000264249	MIR3912	MIR3912	100500831
ENSG00000221763	MIR1289-1	MIR1289-1	100302125
ENSG00000278618	MIR8069-2	MIR8069-2	103504736
ENSG00000264075	MIR4783	MIR4783	100616187
ENSG00000263510	MIR4497	MIR4497	100616454
ENSG00000266555	MIR3145	MIR3145	100423001
ENSG00000264986	MIR5092	MIR5092	100847039
ENSG00000207924	MIR196A2	MIR196A2	406973
ENSG00000207798	MIR216A	MIR216A	406998
ENSG00000268674		FAM231D	644634
ENSG00000268674		FAM231D	729587
ENSG00000268674		FAM231D	100996741
ENSG00000264975	MIR4431	MIR4431	100616431
ENSG00000266663	MIR3169	MIR3169	100422973
ENSG00000283664	MIR4679-1	MIR4679-1	100616128
ENSG00000202515	VTRNA1-3	VTRNA1-3	56662
ENSG00000281810	MIR3972	MIR3972	100616188
ENSG00000207297	SNORD7	SNORD7	692076
ENSG00000207656	MIR489	MIR489	574442
ENSG00000198995	MIR340	MIR340	442908
ENSG00000216058	MIR944	MIR944	100126340
ENSG00000284448	MIR6501	MIR6501	102465248
ENSG00000275458	MIR6809	MIR6809	102465485
ENSG00000284067	MIR6837	MIR6837	102466985
ENSG00000221288	MIR663B	MIR663B	100313824
ENSG00000207645	MIR512-1	MIR512-1	574458
ENSG00000199047	MIR378A	MIR378A	494327
ENSG00000274390	MIR6885	MIR6885	102465533
ENSG00000264233	MIR4456	MIR4456	100616381
ENSG00000266146	MIR5190	MIR5190	100847080
ENSG00000283744	MIR6755	MIR6755	102465452
ENSG00000263908	MIR3116-1	MIR3116-1	100422902
ENSG00000266203	MIR5585	MIR5585	100847018
ENSG00000273642		AC012314.1	4696
ENSG00000284317	MIR7114	MIR7114	102466223
ENSG00000221275	MIR548I2	MIR548I2	100302277
ENSG00000266780	MIR4444-2	MIR4444-2	100846999
ENSG00000275708	MIR3648-1	MIR3648-1	100500862
ENSG00000252699	SNORA21B	SNORA21B	109617002
ENSG00000221628	MIR1302-4	MIR1302-4	100302130
ENSG00000207513	RNU1-3	RNU1-3	26869
ENSG00000207653	MIR558	MIR558	693143
ENSG00000221548	MIR1283-2	MIR1283-2	100302205
ENSG00000284361	MIR4745	MIR4745	100616459
ENSG00000207031	SNORD59A	SNORD59A	26789
ENSG00000265635	MIR3612	MIR3612	100500817
