ensembl_gene_id	gene_sym	ncbi_gene_id	ncbi_gene_sym
ENSG00000268674	FAM231D	729587	FAM231C
ENSG00000268674	FAM231D	644634	FAM231D
ENSG00000268674	FAM231D	100996741	LOC100996741
ENSG00000276896	GOLGA8F	100132565	GOLGA8F
ENSG00000276896	GOLGA8F	283768	GOLGA8G
ENSG00000269096	CT45A3	441519	CT45A3
ENSG00000269096	CT45A3	541466	CT45A1
ENSG00000283340	MIR3119-2	100422839	MIR3119-1
ENSG00000283340	MIR3119-2	100423010	MIR3119-2
ENSG00000283340	MIR3119-1	100423010	MIR3119-2
ENSG00000283340	MIR3119-1	100422839	MIR3119-1
ENSG00000278233	RNA5-8S5	100008587	RNA5-8SN5
ENSG00000278233	RNA5-8SN4	100008587	RNA5-8SN5
ENSG00000278233	RNA5-8SN3	109864274	RNA5-8SN4
ENSG00000278233	RNA5-8SN4	106632260	RNA5-8SN1
ENSG00000278233	RNA5-8SN1	106632260	RNA5-8SN1
ENSG00000278233	RNA5-8SN2	109864281	RNA5-8SN2
ENSG00000278233	RNA5-8SN5	106632260	RNA5-8SN1
ENSG00000278233	RNA5-8SN4	109864281	RNA5-8SN2
ENSG00000278233	RNA5-8SN1	100008587	RNA5-8SN5
ENSG00000278233	RNA5-8SN5	100008587	RNA5-8SN5
ENSG00000278233	RNA5-8SN1	109864274	RNA5-8SN4
ENSG00000278233	RNA5-8S4	109864281	RNA5-8SN2
ENSG00000278233	RNA5-8SN5	109864274	RNA5-8SN4
ENSG00000278233	RNA5-8S4	100008587	RNA5-8SN5
ENSG00000278233	RNA5-8S4	109910381	RNA5-8SN3
ENSG00000278233	RNA5-8SN4	109910381	RNA5-8SN3
ENSG00000278233	RNA5-8S4	106632260	RNA5-8SN1
ENSG00000278233	RNA5-8SN1	109910381	RNA5-8SN3
ENSG00000278233	RNA5-8SN3	100008587	RNA5-8SN5
ENSG00000278233	RNA5-8SN5	109910381	RNA5-8SN3
ENSG00000278233	RNA5-8S5	109864281	RNA5-8SN2
ENSG00000278233	RNA5-8SN4	109864274	RNA5-8SN4
ENSG00000278233	RNA5-8S4	109864274	RNA5-8SN4
ENSG00000278233	RNA5-8SN3	106632260	RNA5-8SN1
ENSG00000278233	RNA5-8SN3	109864281	RNA5-8SN2
ENSG00000278233	RNA5-8SN2	100008587	RNA5-8SN5
ENSG00000278233	RNA5-8SN1	109864281	RNA5-8SN2
ENSG00000278233	RNA5-8SN5	109864281	RNA5-8SN2
ENSG00000278233	RNA5-8S5	109864274	RNA5-8SN4
ENSG00000278233	RNA5-8SN2	109910381	RNA5-8SN3
ENSG00000278233	RNA5-8SN2	106632260	RNA5-8SN1
ENSG00000278233	RNA5-8S5	106632260	RNA5-8SN1
ENSG00000278233	RNA5-8S5	109910381	RNA5-8SN3
ENSG00000278233	RNA5-8SN3	109910381	RNA5-8SN3
ENSG00000278233	RNA5-8SN2	109864274	RNA5-8SN4
ENSG00000214401	KANSL1-AS1	107984142	LOC107984142
ENSG00000214401	KANSL1-AS1	644246	KANSL1-AS1
ENSG00000263715	LINC02210-CRHR1	1394	CRHR1
ENSG00000263715	LINC02210-CRHR1	104909134	LINC02210-CRHR1
ENSG00000274196	FAM197Y4	100289188	FAM197Y4
ENSG00000274196	FAM197Y4	105379268	FAM197Y8
ENSG00000274196	FAM197Y4	105379269	FAM197Y7
ENSG00000265190	ANXA8	653145	ANXA8
ENSG00000265190	ANXA8	107984085	LOC107984085
ENSG00000281950	SPDYE16	102723555	SPDYE16
ENSG00000281950	SPDYE16	100505767	SPDYE18
ENSG00000232527	AC245595.1	107985200	LOC107985200
ENSG00000232527	AC245595.1	645166	LOC645166
ENSG00000137871	ZNF280D	145783	LOC145783
ENSG00000137871	ZNF280D	54816	ZNF280D
ENSG00000207062	SNORA15B-1	109616962	SNORA15B-1
ENSG00000207062	SNORA15B-2	109616962	SNORA15B-1
ENSG00000207062	SNORA15B-1	109617022	SNORA15B-2
ENSG00000207062	SNORA15B-2	109617022	SNORA15B-2
ENSG00000276085	CCL3L3	6349	CCL3L1
ENSG00000276085	CCL3L3	414062	CCL3L3
ENSG00000197728	RPS26	6231	RPS26
ENSG00000197728	RPS26	101929876	LOC101929876
ENSG00000254911	SCARNA9	100158262	SCARNA9L
ENSG00000254911	SCARNA9	619383	SCARNA9
ENSG00000225993	LY6G6D	110599563	LY6G6F-LY6G6D
ENSG00000225993	LY6G6D	58530	LY6G6D
ENSG00000004866	ST7	93655	ST7-OT3
ENSG00000004866	ST7	7982	ST7
ENSG00000277739	RNA5-8S5	100008587	RNA5-8SN5
ENSG00000277739	RNA5-8SN4	100008587	RNA5-8SN5
ENSG00000277739	RNA5-8SN3	109864274	RNA5-8SN4
ENSG00000277739	RNA5-8SN4	106632260	RNA5-8SN1
ENSG00000277739	RNA5-8SN1	106632260	RNA5-8SN1
ENSG00000277739	RNA5-8SN2	109864281	RNA5-8SN2
ENSG00000277739	RNA5-8SN5	106632260	RNA5-8SN1
ENSG00000277739	RNA5-8SN4	109864281	RNA5-8SN2
ENSG00000277739	RNA5-8SN1	100008587	RNA5-8SN5
ENSG00000277739	RNA5-8SN5	100008587	RNA5-8SN5
ENSG00000277739	RNA5-8SN1	109864274	RNA5-8SN4
ENSG00000277739	RNA5-8S4	109864281	RNA5-8SN2
ENSG00000277739	RNA5-8SN5	109864274	RNA5-8SN4
ENSG00000277739	RNA5-8S4	100008587	RNA5-8SN5
ENSG00000277739	RNA5-8S4	109910381	RNA5-8SN3
ENSG00000277739	RNA5-8SN4	109910381	RNA5-8SN3
ENSG00000277739	RNA5-8S4	106632260	RNA5-8SN1
ENSG00000277739	RNA5-8SN1	109910381	RNA5-8SN3
ENSG00000277739	RNA5-8SN3	100008587	RNA5-8SN5
ENSG00000277739	RNA5-8SN5	109910381	RNA5-8SN3
ENSG00000277739	RNA5-8S5	109864281	RNA5-8SN2
ENSG00000277739	RNA5-8SN4	109864274	RNA5-8SN4
ENSG00000277739	RNA5-8S4	109864274	RNA5-8SN4
ENSG00000277739	RNA5-8SN3	106632260	RNA5-8SN1
ENSG00000277739	RNA5-8SN3	109864281	RNA5-8SN2
ENSG00000277739	RNA5-8SN2	100008587	RNA5-8SN5
ENSG00000277739	RNA5-8SN1	109864281	RNA5-8SN2
ENSG00000277739	RNA5-8SN5	109864281	RNA5-8SN2
ENSG00000277739	RNA5-8S5	109864274	RNA5-8SN4
