hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_family	gene_family_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	mgd_id	rgd_id	lsdb	cosmic	omim_id	mirbase	homeodb	snornabase	bioparadigms_slc	orphanet	pseudogene.org	horde_id	merops	imgt	iuphar	kznf_gene_catalog	mamit-trnadb	cd	lncrnadb	enzyme_id	intermediate_filament_db	rna_central_ids
HGNC:8	A2MP1	alpha-2-macroglobulin pseudogene 1	pseudogene	pseudogene	Approved	12p13.31	12p13.31			A2MP	alpha-2-macroglobulin pseudogene			1991-09-12	2010-02-24	2010-02-24	2016-08-22	3	ENSG00000256069	OTTHUMG00000168334		M24415	NG_001067			2478422											PGOHUM00000291221											
HGNC:18226	AACSP1	acetoacetyl-CoA synthetase pseudogene 1	pseudogene	pseudogene	Approved	5q35.3	05q35.3			AACSL	acetoacetyl-CoA synthetase-like			2004-06-04	2010-09-29	2010-09-29	2016-10-05	729522	ENSG00000250420	OTTHUMG00000163584			NR_024035																									
HGNC:50305	AADACP1	arylacetamide deacetylase pseudogene 1	pseudogene	pseudogene	Approved	3q25.1	03q25.1							2014-04-07			2016-08-22	201651	ENSG00000240602	OTTHUMG00000159879			NR_026915														PGOHUM00000299631											
HGNC:49894	AARSP1	alanyl-tRNA synthetase pseudogene 1	pseudogene	pseudogene	Approved	4q28.3	04q28.3							2014-03-18			2018-04-23	106480683	ENSG00000249038	OTTHUMG00000161188			NG_043271														PGOHUM00000246081											
HGNC:31	ABCA11P	ATP binding cassette subfamily A member 11, pseudogene	pseudogene	pseudogene	Approved	4p16.3	04p16.3	"EST1133530|FLJ14297"		ABCA11	ATP-binding cassette, sub-family A (ABC1), member 11, pseudogene	ATP binding cassette subfamily A	805	1999-06-11	2008-09-09	2015-11-13	2015-11-13	79963	ENSG00000251595	OTTHUMG00000159884		AK024359	NR_002451.2		Q4W5N1												PGOHUM00000245425											
HGNC:32972	ABCA17P	ATP binding cassette subfamily A member 17, pseudogene	pseudogene	pseudogene	Approved	16p13.3	16p13.3				ATP-binding cassette, sub-family A (ABC1), member 17, pseudogene	ATP binding cassette subfamily A	805	2006-09-19		2015-11-13	2015-11-13	650655	ENSG00000238098	OTTHUMG00000154348		DQ266102	NR_003574			16968533	MGI:3625331										PGOHUM00000250669											
HGNC:14114	ABCB10P1	ABCB10 pseudogene 1	pseudogene	pseudogene	Approved	15q11.2	15q11.2	"M-ABC2|MABC2"		"ABCB10P|ABCB10P2"	"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene|ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 2|ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 1|ATP binding cassette subfamily B member 10 pseudogene 1"			2001-07-13	2008-09-09	2018-05-23	2018-05-23	56476	ENSG00000274099	OTTHUMG00000188344		AF218417	NG_005041			"7766993|10922475"											PGOHUM00000293137											
HGNC:31129	ABCB10P3	ABCB10 pseudogene 3	pseudogene	pseudogene	Approved	15q13.1	15q13.1				"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 3|ATP binding cassette subfamily B member 10 pseudogene 3"			2010-06-17		2018-05-23	2018-05-23	728248	ENSG00000261524	OTTHUMG00000175874			NG_022122														PGOHUM00000293151											
HGNC:31130	ABCB10P4	ABCB10 pseudogene 4	pseudogene	pseudogene	Approved	15q13.1	15q13.1				"ATP-binding cassette, sub-family B (MDR/TAP), member 10 pseudogene 4|ATP binding cassette subfamily B member 10 pseudogene 4"			2010-06-17		2018-05-23	2018-05-23	100132289	ENSG00000260053	OTTHUMG00000175877			NG_022102														PGOHUM00000292862											
HGNC:33352	ABCC6P1	ATP binding cassette subfamily C member 6 pseudogene 1	pseudogene	pseudogene	Approved	16p12.3	16p12.3				"ATP-binding cassette, sub-family C, member 6 pseudogene 1|ATP-binding cassette, sub-family C, member 6 pseudogene 1 (functional)|ATP binding cassette subfamily C member 6 pseudogene 1 (functional)"	Transcribed pseudogenes with published function	859	2007-02-23		2016-01-29	2016-08-22	653190	ENSG00000256340	OTTHUMG00000177192		BC075833	NR_003569			"18405356|22873774"											PGOHUM00000307541											
HGNC:33353	ABCC6P2	ATP binding cassette subfamily C member 6 pseudogene 2	pseudogene	pseudogene	Approved	16p13.11	16p13.11				ATP-binding cassette, sub-family C, member 6 pseudogene 2			2007-02-23		2015-11-13	2016-08-22	730013	ENSG00000255277	OTTHUMG00000166266			NR_023387			22873774											PGOHUM00000293430											
HGNC:16022	ABCC13	ATP binding cassette subfamily C member 13 (pseudogene)	pseudogene	pseudogene	Approved	21q11.2	21q11.2	"PRED6|C21orf73|ABCC13P"			ATP-binding cassette, sub-family C (CFTR/MRP), member 13	ATP binding cassette subfamily C	807	2002-11-11		2016-01-06	2016-01-06	150000	ENSG00000243064	OTTHUMG00000074257		AF418600	NR_003087			12445816					608835						PGOHUM00000258120											
HGNC:62	ABCD1P1	ATP binding cassette subfamily D member 1 pseudogene 1	pseudogene	pseudogene	Approved	2p11.2	02p11.2				ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 1			1999-10-29		2015-11-13	2016-10-05	23785				U90290	NG_001246			"8829626|9215666"																						
HGNC:63	ABCD1P2	ATP binding cassette subfamily D member 1 pseudogene 2	pseudogene	pseudogene	Approved	10p11.1	10p11.1	bA453N3.6			ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 2			1999-12-17		2015-11-13	2015-11-13	26983	ENSG00000215151	OTTHUMG00000018003		U90288	NG_001270			9215666											PGOHUM00000238740											
HGNC:64	ABCD1P3	ATP binding cassette subfamily D member 1 pseudogene 3	pseudogene	pseudogene	Approved	16p11.2	16p11.2				ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 3			1999-12-17		2015-11-13	2015-11-13	26982	ENSG00000261233	OTTHUMG00000176500		U90289	NG_001269			9215666											PGOHUM00000259051											
HGNC:65	ABCD1P4	ATP binding cassette subfamily D member 1 pseudogene 4	pseudogene	pseudogene	Approved	22q11.1	22q11.1				ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 4			1999-12-17		2015-11-13	2015-11-13	26957	ENSG00000225293	OTTHUMG00000030330		U90291	NG_001265			"9215666|10591208"											PGOHUM00000246377											
HGNC:42662	ABCD1P5	ATP binding cassette subfamily D member 1 pseudogene 5	pseudogene	pseudogene	Approved	2p11.1	02p11.1				ATP-binding cassette, sub-family D (ALD), member 1, pseudogene 5			2011-08-12		2015-11-13	2015-11-13	642762	ENSG00000214330	OTTHUMG00000155089			NG_006974														PGOHUM00000240771											
HGNC:48841	ABCF2P1	ATP binding cassette subfamily F member 2 pseudogene 1	pseudogene	pseudogene	Approved	3p11.1	03p11.1				ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene 1			2013-06-19		2015-11-13	2015-11-13	344653	ENSG00000242159	OTTHUMG00000159043			NG_022253														PGOHUM00000238094											
HGNC:48842	ABCF2P2	ATP binding cassette subfamily F member 2 pseudogene 2	pseudogene	pseudogene	Approved	7q11.22	07q11.22				ATP-binding cassette, sub-family F (GCN20), member 2 pseudogene 2			2013-06-19		2015-11-13	2015-11-13	100422059	ENSG00000228769	OTTHUMG00000156669			NG_026596														PGOHUM00000233410											
HGNC:28394	ABHD17AP1	abhydrolase domain containing 17A pseudogene 1	pseudogene	pseudogene	Approved	1q21.2	01q21.2	C1orf47		"FAM108A2|ABHD17AP2|FAM108A3|FAM108A11P|FAM108A3P"	"family with sequence similarity 108, member A2|abhydrolase domain containing 17A pseudogene 2|family with sequence similarity 108, member A3|family with sequence similarity 108, member A11, pseudogene|family with sequence similarity 108, member A3, pseudogene"			2006-01-17	2013-03-15	2013-03-15	2015-01-29	728917	ENSG00000198658	OTTHUMG00000047949			NG_011738														PGOHUM00000296554											
HGNC:34041	ABHD17AP3	abhydrolase domain containing 17A pseudogene 3	pseudogene	pseudogene	Approved	1q41	01q41			"FAM108A4|FAM108A4P"	"family with sequence similarity 108, member A4|family with sequence similarity 108, member A4, pseudogene"			2008-04-02	2013-03-15	2013-03-15	2013-03-15	648359	ENSG00000250536	OTTHUMG00000036949			XR_041784														PGOHUM00000259514											
HGNC:34042	ABHD17AP4	abhydrolase domain containing 17A pseudogene P4	pseudogene	pseudogene	Approved	22q11.21	22q11.21			"FAM108A5|FAM108A5P"	"family with sequence similarity 108, member A5|family with sequence similarity 108, member A5, pseudogene"			2008-04-02	2013-03-15	2013-03-15	2014-11-19	729495	ENSG00000229107	OTTHUMG00000150752			NG_023156														PGOHUM00000246246											
HGNC:34043	ABHD17AP5	abhydrolase domain containing 17A pseudogene 5	pseudogene	pseudogene	Approved	22q11.22	22q11.22			"FAM108A6|FAM108A6P"	"family with sequence similarity 108, member A6|family with sequence similarity 108, member A6, pseudogene"			2008-04-02	2013-03-15	2013-03-15	2015-07-29	91219	ENSG00000263366	OTTHUMG00000188359			NG_000002			9074928											PGOHUM00000297482											
HGNC:34044	ABHD17AP6	abhydrolase domain containing 17A pseudogene 6	pseudogene	pseudogene	Approved	17p11.2	17p11.2			FAM108A7P	family with sequence similarity 108, member A7, pseudogene			2010-05-25	2013-03-15	2013-03-15	2014-11-19	644988	ENSG00000226981	OTTHUMG00000132836			NG_022988														PGOHUM00000237299											
HGNC:38508	ABHD17AP7	abhydrolase domain containing 17A pseudogene 7	pseudogene	pseudogene	Approved	16p11.2	16p11.2			FAM108A8P	family with sequence similarity 108, member A8, pseudogene			2010-05-25	2013-03-15	2013-03-15	2015-09-21	100133212	ENSG00000260864	OTTHUMG00000176510			NG_022980														PGOHUM00000293533											
HGNC:38509	ABHD17AP8	abhydrolase domain containing 17A pseudogene 8	pseudogene	pseudogene	Approved	16p11.2	16p11.2			FAM108A9P	family with sequence similarity 108, member A9, pseudogene			2010-05-25	2013-03-15	2013-03-15	2015-09-21	647144	ENSG00000260540	OTTHUMG00000176567			NG_023021														PGOHUM00000293798											
HGNC:38510	ABHD17AP9	abhydrolase domain containing 17A pseudogene 9	pseudogene	pseudogene	Approved	16p11.2	16p11.2			FAM108A10P	family with sequence similarity 108, member A10, pseudogene			2010-05-25	2013-03-15	2013-03-15	2015-09-21	100132251	ENSG00000261536	OTTHUMG00000176455			NG_028293														PGOHUM00000293815											
HGNC:20035	ABI1P1	abl interactor 1 pseudogene 1	pseudogene	pseudogene	Approved	14q22.3	14q22.3			"SSH3BP1P|ABI1P"	"spectrin SH3 domain binding protein 1 pseudogene|abl-interactor 1 pseudogene"			2003-01-13	2010-01-12	2016-05-26	2018-05-23	326268	ENSG00000271484	OTTHUMG00000184542			NG_002531														PGOHUM00000292672											
HGNC:39557	ABT1P1	activator of basal transcription 1 pseudogene 1	pseudogene	pseudogene	Approved	4q23	04q23							2011-02-25			2011-02-25	100420695	ENSG00000250496	OTTHUMG00000161229			NG_025142														PGOHUM00000245631											
HGNC:44365	ACE3P	angiotensin I converting enzyme 3, pseudogene	pseudogene	pseudogene	Approved	17q23.3	17q23.3		peptidyl-dipeptidase A, pseudogene		angiotensin I converting enzyme (peptidyl-dipeptidase A) 3, pseudogene			2012-08-22		2016-06-27	2016-06-27	100129123	ENSG00000224353	OTTHUMG00000155913			NG_016186			17597519	MGI:3644400																					
HGNC:34504	ACNATP	acyl-CoA:amino acid N-acyltransferase pseudogene	pseudogene	pseudogene	Approved	9q31.1	09q31.1		acid-CoA: amino acid N-acyltransferase, pseudogene	BAATP1	bile acid-CoA:amino acid N-acyltransferase pseudogene 1			2010-09-29	2018-07-18	2018-07-18	2018-07-18	347275	ENSG00000227411	OTTHUMG00000020374			NG_023464			"17116739|18538142"											PGOHUM00000304011											
HGNC:51295	ACSM5P1	acyl-CoA synthetase medium chain family member 5 pseudogene 1	pseudogene	pseudogene	Approved	16p12.3	16p12.3							2014-09-24		2017-07-24	2017-07-24	100421779	ENSG00000260762	OTTHUMG00000177228			NG_026352																									
HGNC:134	ACTBP1	actin, beta pseudogene 1	pseudogene	pseudogene	Approved	Xp11.3	Xp11.3							1986-01-01			2014-11-19	643309	ENSG00000229145	OTTHUMG00000021415			NG_022596														PGOHUM00000241261											
HGNC:135	ACTBP2	actin, beta pseudogene 2	pseudogene	pseudogene	Approved	5q14.1	05q14.1							1986-01-01			2014-11-19	62	ENSG00000213763	OTTHUMG00000162641			NG_003019			3837182											PGOHUM00000235667											
HGNC:136	ACTBP3	actin, beta pseudogene 3	pseudogene	pseudogene	Approved	18q21.33	18q21.33							1986-01-01			2014-11-19	63					NG_016990			3837182																						
HGNC:137	ACTBP4	actin, beta pseudogene 4	pseudogene	pseudogene	Approved	5q23.3	05q23.3							1986-01-01			2014-11-19	64					NG_003020			3837182											PGOHUM00000235394											
HGNC:139	ACTBP6	actin, beta pseudogene 6	pseudogene	pseudogene	Approved	8q21.2	08q21.2							1988-08-16			2015-01-19	66	ENSG00000203413	OTTHUMG00000164632			NG_008793														PGOHUM00000303609											
HGNC:140	ACTBP7	actin, beta pseudogene 7	pseudogene	pseudogene	Approved	15q15.3	15q15.3							1995-12-13			2015-01-19	67	ENSG00000185607	OTTHUMG00000060473		V00479	NG_002724			"6296793|6571702"											PGOHUM00000292935											
